exchangeId,name,rank,percentTotalVolume,volumeUsd,tradingPairs,socket,exchangeUrl,updated
Sushiswap V3 (Optimism),Sushiswap V3 (Optimism),67,0.0001254123594661250929000000000000000000,48171.7496707425922503,2,True,empty_uri,1750493992508
pancakeswap-v1-bsc,pancakeswap-v1-bsc,68,0.0000795420682161827844000000000000000000,30552.6553739550384729,7,True,empty_uri,1750493687587
Fraxswap (Ethereum),Fraxswap (Ethereum),69,0.0000636580136833789876000000000000000000,24451.4808009870097293,3,True,empty_uri,1750492679162
Fraxswap (Optimism),Fraxswap (Optimism),70,0.0000538589943269414707000000000000000000,20687.6100830888266880,1,True,empty_uri,1750493667731
Pancakeswap V1 (BSC),Pancakeswap V1 (BSC),71,0.0000462277926531690950000000000000000000,17756.4130441302479606,1,True,empty_uri,1750493694929
Fraxswap (Arbitrum),Fraxswap (Arbitrum),72,0.0000173767682335677815000000000000000000,6674.5361700976402233,1,True,empty_uri,1750470764924
yobit,YoBit,73,0.0000138625606410108965000000000000000000,5324.7048683000000000,2,False,https://yobit.net,1750494015411
coingeckoexchangerates,Coingecko,74,0.0000063208449222168762000000000000000000,2427.8800000000000000,1,False,https://www.coingecko.com/es,1750494013882
btctradeua,BTC Trade UA,75,0.0000042155605411361088000000000000000000,1619.2257922100567513,5,False,https://btc-trade.com.ua/,1750494030718
Fraxswap (BSC),Fraxswap (BSC),76,0.0000019735928216767273000000000000000000,758.0705742440433355,1,True,empty_uri,1750490367462
Uniswap V2 (Arbitrum),Uniswap V2 (Arbitrum),77,0.00000024529189633060409244000000000000000000,94.2183041336626799,1,True,empty_uri,1750445238554
Fraxswap (Avalanche),Fraxswap (Avalanche),82,,,1,True,empty_uri,1750490396908
sushi,SushiSwap,81,,,0,,https://sushi.com/,1719351130344
Pancakeswap (Stable),Pancakeswap (Stable),78,,,0,,empty_uri,1743698293003
bibox,Bibox,83,,,2,False,https://www.bibox.com,1750494037020
Camelot V3,Camelot V3,80,,,0,,empty_uri,1747450338483
Camelot,Camelot,79,,,0,,empty_uri,1746731057419
